Roll|Text
2|A man with a bleeding stump where his hand should be flees the room. Face a GUARD.
3|A woman and child cower in the corner. They are terrified and plead for their lives.
4|Sat cross-legged in the centre of the room is a monk. He is in deep meditation and does not respond. If attacked face an INFERNAL MONK.
5|A person lies motionless in the corner, but when you get close they spring up and attack. Face a THUG.
6|A woman with a scarred face approaches you. She claims to be a prisoner but is actually an ACOLYTE loyal to the dungeon. Face an ACOLYTE.
7|There is a person here who is wounded and asks for your help. They are genuine and if you heal them they will give you 1D6 SC.
8|Standing in the shadows is a figure. When you approach they step into the light and you see they are an INFERNAL MONK. Face an INFERNAL MONK.
9|A man sits here sharpening a blade. He looks up as you enter and attacks. Face a GUARD.
10|There is a robed figure here who claims to be lost. They are an ACOLYTE of the dungeon. Face an ACOLYTE.
11|A cloaked figure stands motionless in the corner. When approached they throw back their cloak and attack. Face a THUG with +1D6 SC loot.
12|Standing here is a warrior clad in black armour. They draw their weapon and attack. Face a KNIGHT.
