Roll|Description
1-1|There is a lever beside the far exit. If you decide to pull it roll D6. 1= Nothing happens. 2-3= Any portcullises in the room open. 4-5= All portcullises in adjoining rooms open. 6= The lever snaps. If you have suitable items and can fix it with Inventive Usage, roll again.
1-2|At the back of the room is a recess and inside is a small shrine with a miniature statue of a god standing before an offering pan. Roll on GOT1 to identify the god. Only small items may be placed in the pan as offerings and when correctly applied gain 1 FP.
1-3|Tucked into a crack in the wall is a small piece of paper that reads 'the guard Amis stole it' (Quest for Amis). If you fight a GUARD roll a D6. 1-3= It's not him. 4-6= It is Amis, so you take extra care when searching his body if you win the fight. Roll on STIT1.
1-4|You cross the room but stagger as the floor falls away from beneath you. You grab for the ledge. Roll 2D6 and add your Precision. On a 7 or higher you grab hold and climb free. On a 6 or lower you fall in and lose 3 health points and then climb out.
1-5|There is a box set into the wall here with a makeshift panel door. It is closed and has a rough lock -3. It can be opened with Lock Picks, but not removed from its housing or smashed open. If opened gain 30 XP and roll on CT1.
1-6|You begin rummaging through the room when suddenly in barges an unexpected visitor. Roll on L1P and face the enemy. They were carrying something, roll on BT1.
2-1|Something that has caught your eye is a stone basin in the corner of the room. It is full of clear water. Above it is a symbol. Roll on SST1. If you can place a related item to the symbol in the water it transforms into a LQ random gem. Roll on GMT1. One use only.
2-2|There is a crack in the wall here and inside is a rolled up piece of cloth. It is tricky to remove, so make a precision check PC10(2) to avoid pushing it deeper. If successful, you unravel the cloth and find a Lock Pick +2 (4).
2-3|Without realising it you stand on a pressure plate in the middle of the room. If there are any portcullises here, they rise into the ceiling. Otherwise, the next portcullis you encounter is raised, as a distant sound rattles through the dungeon.
2-4|Hidden behind a screen at the back is a wooden shrine with a relief carving of a god. There is a slot below the image where a small offering can be placed. Roll on GOT1 to identify the god and when one offering is correctly applied gain 1 FP.
2-5|Thrown into a corner is a rag. You hold it up and see the shadowy outline of a god traced on it and realise this is a holy shroud (Holy Shroud Quest). Roll on GOT1 to identify the god. If you place this at a shrine or altar to that god you gain 2 FP for that god.
2-6|There is a narrow hole here and you put your hand in to take out a pendant. It has three hollow recesses that appear to have once held gems. You may place three gems in the pendant and roll on GCT1. There may be risks involved.
3-1|There is a chest here which you notice has a trap mechanism. You can try to disarm it. Roll 2D6 and add your Precision. If you roll an 8 or higher you succeed and take no damage. On a 7 or lower a blade slices your hand. Lose 2 health points. Inside is a vial of ink and 4D6 +20 SC.
3-2|There are some metal objects in a drawer here. One of them is half of an ornate broken item. Roll on HAOIT1 (Ornate Item Quest). If you should find another half of the same item then triple its value, as it magically welds together when connected, and gain 30 XP.
3-3|You pull back a crate and find someone has carved out a concealed hollow in the wall. You need to work free two metal bars that prevent access to the hole. Make a Precision check PC8(2) or you give up. If successful gain 20 XP and inside is a bag. Roll on BT1.
3-4|On a ledge high up is a golden statue. You can climb for it. If so, you must remain focused. Roll 2D6 and add your Discipline. On a 9 or higher you reach and grab it. On an 8 or lower you fall and lose 1 HP. You can keep trying. The idol is worth 3D6 GC.
3-5|There is a dropped silver disc here worth 3D6 +20 SC. It has three indentations where gems can be placed. If you have none now you may try later but if you do place three gems in these slots roll on GCT1. There may be risks involved.
3-6|After a careful search you find a concealed door and behind it is a small altar to a god, an image of whom is carved on the wall. There is a slot for small items. Roll on GOT1 to identify the god and when offerings are correctly applied gain 1 FP.
4-1|There is a lever on the wall here. If you pull it roll D6. 1-2= A pit opens up beneath you and you fall in, lose 2 HP. 3-4= A pit opens up in the next room and you avoid any enemies if any are found there. 5-6= A compartment opens and reveals a box. Roll on CT1.
4-2|Mounted on a wall is a large wooden relief showing a god. Roll on GOT1 to identify the god. There are some hooks here on which to hang offerings. Only offerings that can be hung award 1 FP.
4-3|Hidden to one side is a body you recognise as a warden from your town. His blue arm band is gone. Add Warden Revenge Quest. If you encounter a GUARD roll D6. 1-3= The GUARD wears a blue arm band and you swing into a rage +1 Shift. Once found, cross off quest and take the band.
4-4|You do not notice at first, but when you glance up you see a bag slung over a beam. It is out of reach, but if you have some way of pulling it down through Inventive Usage, then inside you find a couple of items. Roll on POT2 and SCT1.
4-5|There is an old rough stone, water filled, basin set in the wall here. Above it is a symbol. Roll on SST1. If you can place a related item in the water it transforms into a MQ random gem. Roll on GMT1.
4-6|In the corner of the room there is a wooden panel showing a painting of a god. Roll on GOT1 to identify it. Beneath the panel is a place where offerings can be left, and when applied correctly gain 1 FP.
5-1|You spot a stone in the wall that appears out of place. You take a closer look and find it is loose. Behind it is half a cheese wrapped in some cloth. Gain 1 ration. There is also a little dried meat.
5-2|There is a chalk board here that reads 'Krelas the Cleric is delivering the package today' (Krelas Quest). If you encounter a Dark Cleric roll D6. 1-3= The cleric is Krelas and if you defeat him, you find a package containing a piece of armour on his person. Roll on ARYT2.
5-3|There are some crates in the corner of the room. One is carefully balanced and looks valuable. Make a Precision Check PC9(2) or it tumbles and smashes its contents. If successful gain 20 XP and inside is a Potion of Resist Magic and a Potion of Speed.
