Roll|Text
2|All you find is dust and splinters of soft wood.
3|There is an old, small crude wooden cross here.
4|Some rats have chewed up a stack of books, but they have left a wrapping of Dankoma Stems.
5|You find a religious manuscript that has seen better days. There is also a Lock Pick +1(3).
6|Someone has left a bottle of wine and bread here. Gain 1 ration.
7|There are five good quality leather cords here, which were possibly used for binding books.
8|There is a fine ceremonial silk robe here worth 2D6 SC, a Potion of Fidelity and an empty pouch.
9|There is a small ornate casket here which you slowly open and find a pouch with D6 GC inside.
10|Inside a small cabinet in the corner you find a slim silver rod worth 5D6 SC and a small empty box.
11|You spot a concealed compartment along the edge +15 XP. Inside is a pouch with D6 LQ sapphires.
12|There is an ornate golden cross tucked away here worth 2D6+4 GC laying next to a Scroll of Deep Focus.
